house_id,xiaoqu,district,total_price,unit_price,house_type,floor,area,house_struct,in_area,building_type,direction,building_structure,fixture,elevator_ratio,elevator_exist,yearlimit,list_time,trade_type,last_tradetime,house_use,house_time,owner_attribute,mortage,property_status,villa_type,overall_floor
103103775725,大岚寺生活小区,高区,750000.0,10792.0,2室1厅1厨1卫,中楼层,69.5,平层,暂无数据,板楼,南北,混合结构,简装,一梯两户,无,暂无数据,2019-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,暂无数据,7.0
103103736372,颐康府公园,高区,1098000.0,10558.0,2室2厅1厨1卫,低楼层,104.0,平层,暂无数据,板楼,南北,钢混结构,精装,一梯四户,有,暂无数据,2019-01-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,28.0
103103782507,蓝天广场,高区,1520000.0,10271.0,4室2厅1厨2卫,中楼层,148.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,暂无数据,2019-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103103720576,颐和小区,高区,1068000.0,9536.0,3室2厅1厨2卫,中楼层,112.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,暂无数据,2019-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103103719079,金城花园二期,高区,1480000.0,10657.0,3室2厅1厨2卫,低楼层,138.88,平层,暂无数据,板塔结合,南北,框架结构,简装,一梯四户,有,暂无数据,2019-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,18.0
103103686320,大屋惠园公寓,高区,1450000.0,12289.0,2室2厅1厨1卫,高楼层,118.0,平层,暂无数据,板楼,南北,砖混结构,精装,一梯两户,无,暂无数据,2019-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103103686305,国税生活小区,高区,1850000.0,13504.0,3室2厅1厨2卫,高楼层,137.0,平层,暂无数据,板楼,南北,砖混结构,精装,一梯两户,无,暂无数据,2019-01-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103103664196,颐和小区,高区,1120000.0,10000.0,3室2厅1厨2卫,低楼层,112.0,平层,暂无数据,板楼,南北,钢混结构,精装,一梯两户,无,暂无数据,2018-12-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103103629972,悦海小区,高区,980000.0,8167.0,3室2厅1厨1卫,高楼层,120.0,平层,暂无数据,板楼,南北,砖混结构,简装,一梯两户,无,暂无数据,2018-12-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103619676,大岚寺生活小区,高区,738000.0,9775.0,2室2厅1厨1卫,中楼层,75.5,平层,暂无数据,板楼,南北,混合结构,简装,一梯两户,无,暂无数据,2018-12-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103607694,黄家沟小区,高区,520000.0,10000.0,2室2厅1厨1卫,高楼层,52.0,平层,暂无数据,板楼,南北,混合结构,简装,一梯四户,无,暂无数据,2018-12-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103581310,新浪屿花园,高区,1100000.0,11459.0,3室1厅1厨1卫,低楼层,96.0,平层,暂无数据,板楼,南北,钢混结构,精装,两梯三户,有,暂无数据,2018-12-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,18.0
103103553004,柴峰小区,高区,880000.0,11450.0,3室1厅1厨1卫,中楼层,76.86,平层,暂无数据,板楼,西北,砖混结构,简装,一梯两户,无,暂无数据,2018-12-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103686341,威高青缇湾,高区,2050000.0,16400.0,3室2厅1厨1卫,中楼层,125.0,平层,暂无数据,板楼,南北,钢混结构,毛坯,两梯四户,有,暂无数据,2019-01-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,暂无数据,29.0
103103494250,新浪屿花园,高区,1560000.0,13000.0,3室2厅1厨1卫,中楼层,120.0,平层,暂无数据,板楼,南北,钢混结构,精装,一梯两户,无,暂无数据,2018-12-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103103491334,悦海小区,高区,1120000.0,13494.0,3室2厅1厨1卫,中楼层,83.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2018-12-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,8.0
103103450006,寨子生活区,高区,1500000.0,11628.0,3室2厅1厨1卫,中楼层,129.0,平层,暂无数据,板楼,东南,钢混结构,简装,一梯四户,无,暂无数据,2018-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押客户偿还,未上传房本照片,暂无数据,11.0
103103449038,营创美域,高区,1138000.0,12645.0,2室2厅1厨1卫,高楼层,90.0,平层,暂无数据,板楼,西北,钢混结构,精装,两梯三户,有,暂无数据,2018-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,17.0
103103423083,古山四巷,高区,1150000.0,10000.0,3室2厅1厨1卫,低楼层,115.0,平层,暂无数据,板楼,南北,砖混结构,简装,一梯两户,无,暂无数据,2018-11-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103103412067,文化中路,高区,788000.0,11006.0,2室1厅1厨1卫,低楼层,71.6,平层,暂无数据,板楼,南北,砖混结构,简装,一梯两户,无,暂无数据,2018-11-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103103389443,奈古山路,高区,680000.0,9836.0,2室2厅1厨1卫,低楼层,69.14,平层,暂无数据,板楼,南北,砖混结构,简装,一梯三户,无,暂无数据,2018-11-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103104251205,金城花园一期,高区,950000.0,11446.0,2室2厅1厨1卫,高楼层,83.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,暂无数据,2019-03-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103103386004,一品莲花城,高区,738000.0,9414.0,3室1厅1厨1卫,中楼层,78.4,平层,暂无数据,板楼,南北,砖混结构,简装,一梯两户,无,暂无数据,2018-11-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103104246605,洪福庄园,高区,1270000.0,13805.0,3室2厅1厨1卫,中楼层,92.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-03-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103104206472,大岚寺生活小区,高区,738000.0,9109.0,3室1厅1厨1卫,高楼层,81.02,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-03-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103104175122,阮家寺生活小区,高区,790000.0,8833.0,3室1厅1厨1卫,高楼层,89.44,平层,暂无数据,板楼,南北,混合结构,简装,一梯两户,无,暂无数据,2019-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103104130867,金猴金色家园西区,高区,2080000.0,14858.0,3室2厅1厨1卫,高楼层,140.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103104125641,天津路,高区,870000.0,9849.0,3室2厅1厨1卫,中楼层,88.34,平层,暂无数据,板楼,南北,混合结构,简装,一梯两户,无,暂无数据,2019-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103104133516,昌鸿小区,高区,1000000.0,9663.0,3室2厅1厨1卫,高楼层,103.49,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103104118182,颐康府公园,高区,1428000.0,10274.0,3室1厅1厨1卫,低楼层,139.0,平层,暂无数据,板楼,南北,钢混结构,精装,两梯三户,有,暂无数据,2019-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,22.0
103104102792,蓝天广场,高区,2850000.0,18822.0,4室2厅1厨2卫,低楼层,151.42,平层,145㎡,板楼,南北,框架结构,精装,一梯两户,无,未满两年,2019-03-12,商品房,2019-07-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,暂无数据,7.0
103104099071,海源丽轩,高区,1488000.0,12170.0,3室2厅1厨2卫,中楼层,122.27,平层,暂无数据,板楼,南北,钢混结构,简装,两梯两户,有,暂无数据,2019-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,16.0
103104075526,古寨东路,高区,928000.0,10511.0,2室1厅1厨1卫,中楼层,88.29,平层,暂无数据,板楼,南北,砖木结构,简装,一梯两户,无,暂无数据,2019-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103104070962,萬美家园,高区,1758000.0,13034.0,3室2厅2厨1卫,低楼层,134.88,平层,暂无数据,板楼,南北,框架结构,精装,一梯四户,有,暂无数据,2019-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103104030944,萬美家园,高区,1720000.0,12933.0,3室2厅1厨2卫,中楼层,133.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,有,暂无数据,2019-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103104021507,一品莲花城,高区,900000.0,11393.0,3室1厅1厨1卫,高楼层,79.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,有,暂无数据,2019-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
103104021197,一品莲花城,高区,870000.0,10875.0,2室1厅1厨1卫,低楼层,80.0,平层,暂无数据,板楼,南北,框架结构,精装,两梯三户,有,暂无数据,2019-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,11.0
103104014612,潍坊路社区,高区,838000.0,10475.0,3室1厅1厨1卫,中楼层,80.0,平层,暂无数据,板楼,南北,砖混结构,精装,一梯两户,无,暂无数据,2019-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
